edad;trabajo;estado civil;educacion;morosidad;saldo;vivienda;préstamo;contacto;dia;mes;duracion;campaña;pdias;previo;resultado anterior;Salida
58;Gerencia;Casado;Superior;no;8572;si;no;Desconocido;5;mayo;261;1;-1;0;desconocido;no
44;Tecnico;Soltero;Secundaria;no;116;si;no;Desconocido;5;mayo;151;1;-1;0;desconocido;no
33;Empresario;Casado;Secundaria;no;8;si;si;Desconocido;5;mayo;76;1;-1;0;desconocido;no
47;Obrero;Casado;Desconocido;no;6024;si;no;Desconocido;5;mayo;92;1;-1;0;desconocido;no
33;Desconocido;Soltero;Desconocido;no;4;no;no;Desconocido;5;mayo;198;1;-1;0;desconocido;no
35;Gerencia;Casado;Superior;no;924;si;no;Desconocido;5;mayo;139;1;-1;0;desconocido;no
28;Gerencia;Soltero;Superior;no;1788;si;si;Desconocido;5;mayo;217;1;-1;0;desconocido;no
42;Empresario;Divorciado;Superior;si;8;si;no;Desconocido;5;mayo;380;1;-1;0;desconocido;no
58;Jubilado;Casado;Primaria;no;484;si;no;Desconocido;5;mayo;50;1;-1;0;desconocido;no
43;Tecnico;Soltero;Secundaria;no;2372;si;no;Desconocido;5;mayo;55;1;-1;0;desconocido;no
;Administrador;Divorciado;Secundaria;no;1080;si;no;Desconocido;5;mayo;222;1;-1;0;desconocido;no
;Administrador;Soltero;Secundaria;no;1560;si;no;Desconocido;5;mayo;137;1;-1;0;desconocido;no
;Tecnico;Casado;Secundaria;no;24;si;no;Desconocido;5;mayo;517;1;-1;0;desconocido;no
;Tecnico;Casado;Desconocido;no;284;si;no;Desconocido;5;mayo;71;1;-1;0;desconocido;no
;Servicio;Casado;Secundaria;no;648;si;no;Desconocido;5;mayo;174;1;-1;0;desconocido;no
51;Jubilado;Casado;Primaria;no;916;si;no;Desconocido;5;mayo;353;1;-1;0;desconocido;no
45;Administrador;Soltero;Desconocido;no;52;si;no;Desconocido;5;mayo;98;1;-1;0;desconocido;no
57;Obrero;Casado;Primaria;no;208;si;no;Desconocido;5;mayo;38;1;-1;0;desconocido;no
60;Jubilado;Casado;Primaria;no;240;si;no;Desconocido;5;mayo;219;1;-1;0;desconocido;no
33;Servicio;Casado;Secundaria;no;0;si;no;Desconocido;5;mayo;54;1;-1;0;desconocido;no
28;Obrero;Casado;Secundaria;no;2892;si;si;Desconocido;5;mayo;262;1;-1;0;desconocido;no
56;Gerencia;Casado;Superior;no;3116;si;no;Desconocido;5;mayo;164;1;-1;0;desconocido;no
32;Obrero;Soltero;Primaria;no;92;si;si;Desconocido;5;mayo;160;1;-1;0;desconocido;no
25;Servicio;Casado;Secundaria;no;200;si;no;Desconocido;5;mayo;342;1;-1;0;desconocido;no
40;Jubilado;Casado;Primaria;no;0;si;si;Desconocido;5;mayo;181;1;-1;0;desconocido;no
44;Administrador;Casado;Secundaria;no;-1488;si;no;Desconocido;5;mayo;172;1;-1;0;desconocido;no
39;Gerencia;Soltero;Superior;no;1020;si;no;Desconocido;5;mayo;296;1;-1;0;desconocido;no
52;Empresario;Casado;Secundaria;no;452;si;si;Desconocido;5;mayo;127;1;-1;0;desconocido;no
46;Gerencia;Soltero;Secundaria;no;-984;si;no;Desconocido;5;mayo;255;2;-1;0;desconocido;no
36;Tecnico;Soltero;Secundaria;no;1060;si;si;Desconocido;5;mayo;348;1;-1;0;desconocido;no
57;Tecnico;Casado;Secundaria;no;3356;no;si;Desconocido;5;mayo;225;1;-1;0;desconocido;no
49;Gerencia;Casado;Superior;no;1512;si;no;Desconocido;5;mayo;230;1;-1;0;desconocido;no
60;Administrador;Casado;Secundaria;no;156;si;si;Desconocido;5;mayo;208;1;-1;0;desconocido;no
59;Obrero;Casado;Secundaria;no;0;si;no;Desconocido;5;mayo;226;1;-1;0;desconocido;no
51;Gerencia;Casado;Superior;no;42540;si;no;Desconocido;5;mayo;336;1;-1;0;desconocido;no
57;Tecnico;Divorciado;Secundaria;no;252;si;no;Desconocido;5;mayo;242;1;-1;0;desconocido;no
25;Obrero;Casado;Secundaria;no;-28;si;no;Desconocido;5;mayo;365;1;-1;0;desconocido;no
;Tecnico;Casado;Secundaria;no;-12;no;no;Desconocido;5;mayo;1666;1;-1;0;desconocido;no
;Administrador;Divorciado;Secundaria;no;2024;si;no;Desconocido;5;mayo;577;1;-1;0;desconocido;no
37;Administrador;Soltero;Secundaria;no;0;si;no;Desconocido;5;mayo;137;1;-1;0;desconocido;no
44;Servicio;Divorciado;Secundaria;no;10344;si;no;Desconocido;5;mayo;160;1;-1;0;desconocido;no
50;Gerencia;Casado;Secundaria;no;196;si;no;Desconocido;5;mayo;180;2;-1;0;desconocido;no
60;Obrero;Casado;Desconocido;no;416;si;no;Desconocido;5;mayo;22;1;-1;0;desconocido;no
54;Jubilado;Casado;Secundaria;no;2116;si;no;Desconocido;5;mayo;1492;1;-1;0;desconocido;no
58;Jubilado;Casado;Desconocido;no;384;si;no;Desconocido;5;mayo;616;1;-1;0;desconocido;no
36;Administrador;Soltero;Primaria;no;-684;si;no;Desconocido;5;mayo;242;1;-1;0;desconocido;no
58;Independiente;Casado;Superior;no;-1456;si;no;Desconocido;5;mayo;355;1;-1;0;desconocido;no
44;Tecnico;Casado;Secundaria;no;0;si;no;Desconocido;5;mayo;225;2;-1;0;desconocido;no
55;Tecnico;Divorciado;Secundaria;no;0;no;no;Desconocido;5;mayo;160;1;-1;0;desconocido;no
29;Gerencia;Soltero;Superior;no;0;si;no;Desconocido;5;mayo;363;1;-1;0;desconocido;no
54;Obrero;Casado;Secundaria;no;5164;si;no;Desconocido;5;mayo;266;1;-1;0;desconocido;no
48;Gerencia;Divorciado;Superior;no;-976;si;no;Desconocido;5;mayo;253;1;-1;0;desconocido;no
32;Gerencia;Casado;Superior;no;0;si;no;Desconocido;5;mayo;179;1;-1;0;desconocido;no
42;Administrador;Soltero;Secundaria;no;-304;si;no;Desconocido;5;mayo;787;1;-1;0;desconocido;no
24;Tecnico;Soltero;Secundaria;no;-412;si;si;Desconocido;5;mayo;145;1;-1;0;desconocido;no
38;Empresario;Soltero;Superior;no;972;no;si;Desconocido;5;mayo;174;1;-1;0;desconocido;no
38;Gerencia;Soltero;Superior;no;1696;si;no;Desconocido;5;mayo;104;1;-1;0;desconocido;no
47;Obrero;Casado;Desconocido;no;1224;si;no;Desconocido;5;mayo;13;1;-1;0;desconocido;no
40;Obrero;Soltero;Desconocido;no;96;si;no;Desconocido;5;mayo;185;1;-1;0;desconocido;no
46;Servicio;Casado;Primaria;no;716;si;no;Desconocido;5;mayo;1778;1;-1;0;desconocido;no
32;Administrador;Casado;Superior;no;0;si;no;Desconocido;5;mayo;138;1;-1;0;desconocido;no
53;Tecnico;Divorciado;Secundaria;no;3956;si;no;Desconocido;5;mayo;812;1;-1;0;desconocido;no
57;Obrero;Casado;Primaria;no;996;si;no;Desconocido;5;mayo;164;1;-1;0;desconocido;no
33;Servicio;Casado;Secundaria;no;3160;si;no;Desconocido;5;mayo;391;1;-1;0;desconocido;no
49;Obrero;Casado;Desconocido;no;616;si;no;Desconocido;5;mayo;357;1;-1;0;desconocido;no
51;Gerencia;Casado;Superior;no;26120;si;no;Desconocido;5;mayo;91;1;-1;0;desconocido;no
60;Jubilado;Casado;Superior;no;400;no;no;Desconocido;5;mayo;528;1;-1;0;desconocido;no
59;Gerencia;Divorciado;Superior;no;236;si;no;Desconocido;5;mayo;273;1;-1;0;desconocido;no
55;Tecnico;Casado;Secundaria;no;4820;si;no;Desconocido;5;mayo;158;2;-1;0;desconocido;no
;Obrero;Soltero;Secundaria;no;48892;si;si;Desconocido;5;mayo;177;1;-1;0;desconocido;no
57;Obrero;Casado;Secundaria;no;23740;si;si;Desconocido;5;mayo;258;1;-1;0;desconocido;no
31;Servicio;Casado;Secundaria;no;100;si;si;Desconocido;5;mayo;172;1;-1;0;desconocido;no
54;Gerencia;Casado;Secundaria;no;1128;si;si;Desconocido;5;mayo;154;1;-1;0;desconocido;no
55;Obrero;Casado;Primaria;no;92;si;no;Desconocido;5;mayo;291;1;-1;0;desconocido;no
43;Tecnico;Casado;Secundaria;no;7748;si;no;Desconocido;5;mayo;181;1;-1;0;desconocido;no
53;Tecnico;Casado;Secundaria;no;1536;si;no;Desconocido;5;mayo;176;1;-1;0;desconocido;no
44;Obrero;Casado;Secundaria;no;2328;no;si;Desconocido;5;mayo;211;1;-1;0;desconocido;no
55;Servicio;Divorciado;Secundaria;no;364;no;no;Desconocido;5;mayo;349;1;-1;0;desconocido;no
49;Servicio;Divorciado;Secundaria;no;0;si;si;Desconocido;5;mayo;272;1;-1;0;desconocido;no
55;Servicio;Divorciado;Secundaria;si;4;si;no;Desconocido;5;mayo;208;1;-1;0;desconocido;no
45;Administrador;Soltero;Secundaria;no;824;si;no;Desconocido;5;mayo;193;1;-1;0;desconocido;no
47;Servicio;Divorciado;Secundaria;no;656;no;no;Desconocido;5;mayo;212;1;-1;0;desconocido;no
42;Tecnico;Soltero;Secundaria;no;2760;si;no;Desconocido;5;mayo;20;1;-1;0;desconocido;no
59;Administrador;Casado;Secundaria;no;9372;si;no;Desconocido;5;mayo;1042;1;-1;0;desconocido;si
46;Independiente;Casado;Superior;no;548;si;si;Desconocido;5;mayo;246;1;-1;0;desconocido;no
51;Obrero;Casado;Primaria;no;692;si;no;Desconocido;5;mayo;529;2;-1;0;desconocido;no
56;Administrador;Casado;Secundaria;no;180;no;no;Desconocido;5;mayo;1467;1;-1;0;desconocido;si
41;Tecnico;Casado;Secundaria;no;5080;si;no;Desconocido;5;mayo;1389;1;-1;0;desconocido;si
46;Gerencia;Divorciado;Secundaria;no;64;si;si;Desconocido;5;mayo;188;2;-1;0;desconocido;no
57;Jubilado;Casado;Secundaria;no;1944;si;no;Desconocido;5;mayo;180;2;-1;0;desconocido;no
42;Gerencia;Soltero;Secundaria;no;200;no;no;Desconocido;5;mayo;48;1;-1;0;desconocido;no
30;Tecnico;Casado;Secundaria;no;608;si;si;Desconocido;5;mayo;213;2;-1;0;desconocido;no
60;Administrador;Casado;Secundaria;no;1160;si;no;Desconocido;5;mayo;583;1;-1;0;desconocido;no
;Obrero;Casado;Desconocido;no;216;si;no;Desconocido;5;mayo;221;1;-1;0;desconocido;no
;Empresario;Divorciado;Secundaria;no;-148;no;no;Desconocido;5;mayo;173;1;-1;0;desconocido;no
;Gerencia;Casado;Superior;no;404;si;si;Desconocido;5;mayo;426;1;-1;0;desconocido;no
55;Obrero;Casado;Secundaria;no;1532;no;no;Desconocido;5;mayo;287;1;-1;0;desconocido;no
60;Jubilado;Casado;Superior;no;324;si;no;Desconocido;5;mayo;101;1;-1;0;desconocido;no
39;Tecnico;Casado;Secundaria;no;0;si;no;Desconocido;5;mayo;203;1;-1;0;desconocido;no
46;Gerencia;Casado;Superior;no;916;si;no;Desconocido;5;mayo;197;1;-1;0;desconocido;no
44;Obrero;Casado;Secundaria;no;-2696;si;no;Desconocido;5;mayo;257;1;-1;0;desconocido;no
53;Obrero;Casado;Primaria;no;360;no;no;Desconocido;5;mayo;124;1;-1;0;desconocido;no
52;Obrero;Casado;Primaria;no;512;si;no;Desconocido;5;mayo;229;1;-1;0;desconocido;no
59;Obrero;Casado;Primaria;no;716;si;no;Desconocido;5;mayo;55;3;-1;0;desconocido;no
27;Tecnico;Soltero;Superior;no;0;si;no;Desconocido;5;mayo;400;1;-1;0;desconocido;no
44;Obrero;Casado;Secundaria;no;216;si;no;Desconocido;5;mayo;197;1;-1;0;desconocido;no
47;Tecnico;Casado;Superior;no;604;si;no;Desconocido;5;mayo;190;1;-1;0;desconocido;no
34;Administrador;Casado;Secundaria;no;244;no;si;Desconocido;5;mayo;21;1;-1;0;desconocido;no
